Model,Factor,Volume,Entropy
Paraxial,0,9248.933632002638,808.8019561770586
Vectorial,0,5629.189407737859,779.918663667037
Paraxial,0.2,7793.19932997524,843.0331726070607
Vectorial,0.2,4518.476912666675,817.586371409252
Paraxial,0.4,7793.19932997524,843.0331726070607
Vectorial,0.4,4518.476912666675,817.586371409252
Paraxial,0.6000000000000001,8973.581957228896,851.4577467209747
Vectorial,0.6000000000000001,5211.271116864458,825.966819892451
Paraxial,0.8,10046.678690260527,863.297755865398
Vectorial,0.8,5837.331856045466,837.4352932544717
Paraxial,1.0,11125.876627486525,876.5931929344194
Vectorial,1.0,6486.166362762497,850.9800201184896
Paraxial,1.2,12320.049097009416,890.5839741783076
Vectorial,1.2,7231.371992838999,866.4175639866
Paraxial,1.4000000000000001,13183.43990118102,898.3560103580645
Vectorial,1.4000000000000001,7828.9859632729895,876.2178630924054
Paraxial,1.6,13651.388483331675,901.4911854417662
Vectorial,1.6,8224.193205828084,881.3925559176968
Paraxial,1.8,13721.543693898313,901.4077522347732
Vectorial,1.8,8389.002857979938,883.072308371762
Paraxial,2.0,13538.877969318677,899.8426995204488
Vectorial,2.0,8399.878229204422,882.8892276377869
Paraxial,2.2,13233.251186096959,897.3966506486148
Vectorial,2.2,8322.45259835402,881.578648921144
Paraxial,2.4000000000000004,12898.173278062612,894.5830033051736
Vectorial,2.4000000000000004,8208.812023715422,879.7022486018212
Paraxial,2.6000000000000005,12559.926226597512,891.1599051284863
Vectorial,2.6000000000000005,8078.918726729002,877.184117116342
Paraxial,2.8000000000000003,12265.938184532715,887.9748805705702
Vectorial,2.8000000000000003,7955.624714785398,874.5249775458566
Paraxial,3.0000000000000004,11993.209209463508,884.8086287657284
Vectorial,3.0000000000000004,7832.126053140284,871.5723810775665
Paraxial,3.2,11805.442571701535,883.1101521784963
Vectorial,3.2,7737.370366269199,869.4455139978244
Paraxial,3.4000000000000004,11672.344327024703,882.244573548531
Vectorial,3.4000000000000004,7660.197362228328,867.8409183083519
Paraxial,3.6000000000000005,11647.523209636076,882.7669287582964
Vectorial,3.6000000000000005,7627.420247443157,867.4709181991215
Paraxial,3.8000000000000003,11667.22847424332,883.8186537306136
Vectorial,3.8000000000000003,7608.126154788648,867.5943927288333
Paraxial,4.0,11635.396379511494,884.566152186037
Vectorial,4.0,7559.955092958577,867.3982686917446
Paraxial,4.2,11602.679895289775,884.6626191905406
Vectorial,4.2,7508.256004181454,866.8551220515777
Paraxial,4.4,11755.007187888548,885.5161408284023
Vectorial,4.4,7542.208200468966,867.571358535063
Paraxial,4.6000000000000005,11778.193992472741,885.9088667281902
Vectorial,4.6000000000000005,7519.683113694554,867.8950482309087
Paraxial,4.800000000000001,11657.05137284199,885.6463164605241
Vectorial,4.800000000000001,7435.932724961875,867.4382509609624
Paraxial,5.000000000000001,11510.519624604905,884.9767598499354
Vectorial,5.000000000000001,7348.61633499147,866.641951507394
Paraxial,5.2,11494.659561363565,885.3810079770417
Vectorial,5.2,7332.302080732203,866.9865713977977
Paraxial,5.4,11553.388394769689,885.7851841404415
Vectorial,5.4,7360.156562823123,867.5650369016598
Paraxial,5.6000000000000005,11743.518567395675,886.7806464983096
Vectorial,5.6000000000000005,7461.272180488845,868.8773730329349
Paraxial,5.800000000000001,11888.875970854118,887.124805333903
Vectorial,5.800000000000001,7543.5785328792645,869.5145225903252
Paraxial,6.000000000000001,11831.77787398891,886.4965650080405
Vectorial,6.000000000000001,7522.439937994942,868.9105980813579
Paraxial,6.2,11691.990620302,885.185217962469
Vectorial,6.2,7455.423559414193,867.4826632491813
Paraxial,6.4,11633.098911757896,885.3439796119271
Vectorial,6.4,7419.025218640838,867.3665072939698
Paraxial,6.6000000000000005,11561.537959368328,885.0705270405314
Vectorial,6.6000000000000005,7369.724519980769,866.9240759046883
Paraxial,6.800000000000001,11490.743041684864,885.0953917928988
Vectorial,6.800000000000001,7322.406746998806,866.8705730367758
Paraxial,7.000000000000001,11458.59650543993,885.1826469020441
Vectorial,7.000000000000001,7301.242247820651,866.8917759021554
Paraxial,7.2,11488.914533987529,885.499588553376
Vectorial,7.2,7321.225930056093,867.2332894434917
Paraxial,7.4,11576.043785680919,885.8382633481439
Vectorial,7.4,7378.794356228613,867.7333049117854
Paraxial,7.6000000000000005,11678.296580489914,886.1799441452342
Vectorial,7.6000000000000005,7442.89580575492,868.2180577169037
Paraxial,7.800000000000001,11761.077805761757,886.6244967429159
Vectorial,7.800000000000001,7485.5569080548685,868.8240409414839
Paraxial,8.0,11749.168161656187,885.8283850272674
Vectorial,8.0,7481.571986396524,868.1672904860653
Paraxial,8.2,11581.390666455798,885.2500433280188
Vectorial,8.2,7378.047021567138,867.3545860653121
Paraxial,8.4,11517.86202058076,885.0527104882244
Vectorial,8.4,7335.896562196045,866.9510011155436
Paraxial,8.6,11502.83910441731,884.8107341841301
Vectorial,8.6,7329.2861015848675,866.7010525176769
Paraxial,8.799999999999999,11464.158131344893,885.1281018124782
Vectorial,8.799999999999999,7298.539154396834,867.0038555694294
Paraxial,9.0,11501.551789126244,885.6751092179037
Vectorial,9.0,7315.592797147539,867.603057500874
Paraxial,9.2,11559.144754616793,885.8633152911254
Vectorial,9.2,7356.267419690904,867.864975686435
Paraxial,9.4,11633.617918710337,885.8293547381329
Vectorial,9.4,7413.546027185098,867.9390886453014
Paraxial,9.6,11701.802607715566,885.585221897282
Vectorial,9.6,7459.409470918647,867.8503571441862
Paraxial,9.8,11728.298057757658,886.0208632038049
Vectorial,9.8,7462.820959913057,868.3696150110329
