Configuration,NA_ratio,Volume+,Entropy+,Volume-,Entropy-,VI+,EI+,VI-,EI-,VIR,EIR
Widefield,1,340,951,340,951,,,,,,
Conventional,0.2,610,971,412,963,270,20,72,12,3.75,1.67
Conventional,0.22,621,974,415,964,281,23,75,13,3.75,1.77
Conventional,0.24,627,977,417,965,287,26,77,14,3.73,1.86
Conventional,0.26,631,980,419,966,291,29,79,15,3.68,1.93
Conventional,0.28,635,983,423,968,295,32,83,17,3.55,1.88
Conventional,0.3,639,986,426,969,299,35,86,18,3.48,1.94
Conventional,0.32,642,989,428,971,302,38,88,20,3.43,1.90
Conventional,0.34,644,992,431,973,304,41,91,22,3.34,1.86
Conventional,0.36,645,995,435,975,305,44,95,24,3.21,1.83
Conventional,0.38,646,998,439,977,306,47,99,26,3.09,1.81
Conventional,0.4,644,1000,442,979,304,49,102,28,2.98,1.75
Conventional,0.42,643,1003,446,981,303,52,106,30,2.86,1.73
Conventional,0.44,642,1006,450,984,302,55,110,33,2.75,1.67
Conventional,0.46,642,1008,455,986,302,57,115,35,2.63,1.63
Conventional,0.48,640,1011,459,989,300,60,119,38,2.52,1.58
Conventional,0.5,637,1014,463,992,297,63,123,41,2.41,1.54
Conventional,0.52,635,1016,468,995,295,65,128,44,2.30,1.48
Conventional,0.54,633,1019,473,998,293,68,133,47,2.20,1.45
Conventional,0.56,629,1022,478,1002,289,71,138,51,2.09,1.39
Conventional,0.58,626,1024,483,1005,286,73,143,54,2.00,1.35
Conventional,0.6,623,1027,489,1009,283,76,149,58,1.90,1.31
Conventional,0.62,619,1029,494,1012,279,78,154,61,1.81,1.28
Conventional,0.64,615,1032,499,1016,275,81,159,65,1.73,1.25
Conventional,0.66,611,1035,505,1020,271,84,165,69,1.64,1.22
Conventional,0.68,607,1038,510,1024,267,87,170,73,1.57,1.19
Conventional,0.7,603,1040,516,1028,263,89,176,77,1.49,1.16
Conventional,0.72,598,1043,521,1032,258,92,181,81,1.43,1.14
Conventional,0.74,594,1046,527,1036,254,95,187,85,1.36,1.12
Conventional,0.76,591,1049,532,1041,251,98,192,90,1.31,1.09
Conventional,0.78,587,1052,537,1045,247,101,197,94,1.25,1.07
Conventional,0.8,583,1055,542,1049,243,104,202,98,1.20,1.06
Conventional,0.82,579,1058,546,1053,239,107,206,102,1.16,1.05
Conventional,0.84,576,1062,550,1058,236,111,210,107,1.12,1.04
Conventional,0.86,574,1065,554,1063,234,114,214,112,1.09,1.02
Conventional,0.88,571,1069,557,1067,231,118,217,116,1.06,1.02
Conventional,0.9,569,1073,560,1072,229,122,220,121,1.04,1.01
Conventional,0.92,568,1077,563,1076,228,126,223,125,1.02,1.01
Conventional,0.94,567,1081,565,1080,227,130,225,129,1.01,1.01
Conventional,0.96,566,1085,566,1085,226,134,226,134,1.00,1.00
Conventional,0.98,566,1090,567,1090,226,139,227,139,1.00,1.00
Conventional,1,567,1094,567,1094,227,143,227,143,1.00,1.00
