ThetaIncident,SineRatio,Power1,Power2,sum(log(1 + 10^8 SSNR))
0,0,0,0,267
9.0,0.1,1,1,464
9.0,0.5,1,1,496
9.0,0.9,1,1,387
18.0,0.1,1,1,510
18.0,0.5,1,1,537
18.0,0.9,1,1,441
27.0,0.1,1,1,512
27.0,0.5,1,1,535
27.0,0.9,1,1,481
36.0,0.1,1,1,497
36.0,0.5,1,1,522
36.0,0.9,1,1,501
45.0,0.1,1,1,477
45.0,0.5,1,1,502
45.0,0.9,1,1,518
54.0,0.1,1,1,462
54.0,0.5,1,1,484
54.0,0.9,1,1,528
63.0,0.1,1,1,455
63.0,0.5,1,1,468
63.0,0.9,1,1,528
72.0,0.1,1,1,453
72.0,0.5,1,1,462
72.0,0.9,1,1,512
81.0,0.1,1,1,449
81.0,0.5,1,1,459
81.0,0.9,1,1,487
90.0,0.1,1,1,441
90.0,0.5,1,1,456
90.0,0.9,1,1,467
