Modulation,SSNR_Fourier,SSNR_Spatial,SSNR_Finite_7
0.0,2369.5,2369.5,2369.5
0.02,20283.6,3472.9,14909.8
0.05,22853.5,4497.8,19493.7
0.08,24149.5,5195.3,21842.0
0.1,24885.4,5616.3,23162.1
0.12,25327.6,5861.9,23942.9
0.15,25600.2,6004.7,24416.6
0.18,25768.6,6087.8,24705.4
0.2,25870.0,6135.9,24878.5
0.22,25927.1,6162.9,24977.2
0.25,25954.1,6177.0,25027.1
0.28,25960.4,6183.1,25044.9
0.3,25952.4,6184.1,25041.2
0.32,25934.4,6182.0,25023.3
0.35,25909.4,6178.0,24996.2
0.38,25879.7,6172.7,24963.1
0.4,25846.8,6166.7,24926.6
0.43,25811.8,6160.4,24888.1
0.45,25775.6,6153.8,24848.8
0.48,25738.8,6147.3,24809.5
0.5,25701.8,6140.9,24770.7
