IncidentAngle,Configuration,volume,volume_a,total,total_a,entropy,waterline,entropy2
0,0,267,267,0,0,2739,0,7.83191570492756
9,Square: linearly polarized,338,356,0,0,3511,4,7.85865726421939
9,Square: circularly polarized,381,413,0,0,3965,5,7.82589917130601
9,Hexagonal,366,392,0,0,3813,4,7.85455170149084
9,State Of Art,491,445,0,0,5152,14,7.80179019830473
18,Square: linearly polarized,348,356,0,0,3657,6,7.96704144570859
18,Square: circularly polarized,391,405,0,0,4124,8,7.95513782060925
18,Hexagonal,380,392,0,0,4019,10,7.99653219285688
18,State Of Art,515,445,0,0,5522,20,8.01052286804619
27,Square: linearly polarized,351,356,0,0,3734,7,8.09286952171081
27,Square: circularly polarized,385,393,0,0,4113,12,8.09765615360838
27,Hexagonal,384,392,0,0,4126,11,8.16046044229914
27,State Of Art,505,445,0,0,5525,30,8.23730268128728
36,Square: linearly polarized,352,356,0,0,3790,13,8.22050279106733
36,Square: circularly polarized,375,381,0,0,4044,16,8.20996873227228
36,Hexagonal,386,392,0,0,4208,15,8.31496709947332
36,State Of Art,486,445,0,0,5401,45,8.42653245501754
45,Square: linearly polarized,353,356,0,0,3843,15,8.33891084702011
45,Square: circularly polarized,365,369,0,0,3971,16,8.31715919033805
45,Hexagonal,388,392,0,0,4279,22,8.43951878986971
45,State Of Art,465,445,0,0,5247,47,8.61641801485198
54,Square: linearly polarized,353,356,0,0,3882,20,8.44939243342238
54,Square: circularly polarized,356,358,0,0,3899,16,8.40079719303836
54,Hexagonal,389,392,0,0,4343,32,8.57457482026812
54,State Of Art,450,445,0,0,5136,43,8.76012081955799
63,Square: linearly polarized,353,356,0,0,3918,26,8.55137543625524
63,Square: circularly polarized,348,350,0,0,3842,23,8.49865064111089
63,Hexagonal,388,392,0,0,4384,38,8.71013734657074
63,State Of Art,441,445,0,0,5094,50,8.90658181869543
72,Square: linearly polarized,352,356,0,0,3942,26,8.65232097288551
72,Square: circularly polarized,341,343,0,0,3779,20,8.54935705795765
72,Hexagonal,387,392,0,0,4415,34,8.82055776883122
72,State Of Art,438,445,0,0,5115,72,9.03660808127672
81,Square: linearly polarized,349,356,0,0,3918,30,8.68353560455945
81,Square: circularly polarized,332,335,0,0,3669,24,8.53006673557307
81,Hexagonal,386,392,0,0,4412,49,8.84346450879975
81,State Of Art,434,445,0,0,5084,56,9.0767959847732
90,Square: linearly polarized,346,356,0,0,3863,28,8.62566378560029
90,Square: circularly polarized,323,327,0,0,3533,15,8.42887797302493
90,Hexagonal,382,392,0,0,4366,38,8.84725600881604
90,State Of Art,426,445,0,0,4965,51,9.02551997836207
